# id	play	status
GH-3DS-0001	配られた14枚から、待ちが一番多くなる1枚を捨てる。正解で次、外すと終わり
GH-PS2-0163	改造車。ぶっちぎる。相手を抜く瞬間にニトロ
GH-PSP-0001	麻雀。相手の当たり牌を止めるか、自分の上がりを取るか
GH-PSP-0002	将棋。相手の狙いを1手で防ぐ
GH-PSP-0003	テーブルゲーム。カードの数字で勝負。大きい方が勝ち。一番小さい札だけ一番強い
GH-PSP-0004	IQキューブ。立方体を回して面の色を揃える。回せる回数に上限
GH-PSP-0005	パズルクエスト。石を3つ揃えて魔法を撃つ。揃える色で魔法が変わる
GH-PSP-0006	歩兵2。戦友を守る。撃たれる前に撃つ
GH-PSP-0007	悪魔ハンター。悪魔の弱点を見抜いて撃つ。弱点は一瞬光る
GH-PSP-0008	テニス。相手のサーブをリターン。コースを読む
GH-PSP-0009	右脳ドリル。一瞬見た配置を再現
GH-PSP-0010	ブロック崩しクエスト。ドラゴンの王国。ボスの弱点だけを崩す
GH-PSP-0011	戦車。砲弾の落下地点を読んで避ける
GH-PSP-0012	マイタクシー。客の要望を聞いて道を選ぶ。急ぐか安全か
GH-Wii-0001	麻雀。牌を振って捨てる。振り方で捨て牌が決まる
GH-Wii-0002	パーティゲーム。4人で振る。一番速く振った人が勝ち
GH-Wii-0003	カートレース。ハンドルを傾けて走る。傾けすぎるとスピン
GH-Wii-0004	バス釣り大会。竿を振ってキャスト。合わせのタイミング
GH-Wii-0005	パーティカジノ。ルーレット・ブラックジャック・スロットからランダム
GH-Wii-0006	シューティングアクション。ポインターで撃つ。リロードは画面外に向ける
GH-Wii-0007	ブロック崩し。リモコンを傾けて板を動かす
GH-Wii-0008	わいわいコンバット。4人で撃ち合い。最後の1人になる	built
GH-WiiU-0001	密室脱出。手元の画面に手がかり、テレビに部屋。両方を見比べる
GH-WiiU-0002	密室脱出2。手元の画面の絵とテレビの部屋を合わせて鍵を見つける
GH-WiiU-0003	ファミリーパーティ。1人が手元画面で仕掛け、3人がテレビで避ける
